t,V,theta,r,phi,alpha,m
2.3657464366,1.0392628214,0.1240540233,1.0910480426,2.4466183607,-1.1366192694,0.9988171268
2.3836204969,1.0379990893,0.1253536158,1.0933571440,2.4634837763,-1.1401071057,0.9988081898
2.4014945573,1.0367196097,0.1266360298,1.0956871685,2.4802901099,-1.1435875258,0.9987992527
2.4193686177,1.0354248261,0.1279009790,1.0980377006,2.4970370599,-1.1470604532,0.9987903157
2.4387584740,1.0340034482,0.1292531306,1.1006102701,2.5151367451,-1.1508193378,0.9987806208
2.4581483303,1.0325651451,0.1305840643,1.1032059390,2.5331658861,-1.1545692173,0.9987709258
2.4775381865,1.0311104784,0.1318934536,1.1058241624,2.5511241791,-1.1583099938,0.9987612309
2.4969280428,1.0296400070,0.1331809850,1.1084643916,2.5690113478,-1.1620415697,0.9987515360
2.5187571617,1.0279663301,0.1346039599,1.1114624072,2.5890633217,-1.1662314501,0.9987406214
2.5405862805,1.0262741159,0.1359984427,1.1144868188,2.6090245205,-1.1704094062,0.9987297069
2.5624153993,1.0245641475,0.1373640452,1.1175368275,2.6288946709,-1.1745752985,0.9987187923
2.5842445182,1.0228372016,0.1387003991,1.1206116308,2.6486735409,-1.1787289876,0.9987078777
2.6077040772,1.0209632206,0.1401035623,1.1239428147,2.6698277360,-1.1831791566,0.9986961480
2.6311636362,1.0190714663,0.1414721357,1.1273006990,2.6908760981,-1.1876148973,0.9986844182
2.6546231953,1.0171628741,0.1428057375,1.1306842763,2.7118184914,-1.1920360367,0.9986726884
2.6780827543,1.0152383677,0.1441040109,1.1340925369,2.7326548300,-1.1964424018,0.9986609586
2.7017526500,1.0132814045,0.1453777819,1.1375553444,2.7535704634,-1.2008731245,0.9986491237
2.7254225456,1.0113100929,0.1466149334,1.1410412112,2.7743781060,-1.2052884529,0.9986372887
2.7490924413,1.0093253435,0.1478151726,1.1445490981,2.7950778162,-1.2096882092,0.9986254538
2.7727623369,1.0073280527,0.1489782304,1.1480779675,2.8156696990,-1.2140722157,0.9986136188
2.7952612210,1.0054187514,0.1500490564,1.1514507607,2.8351430261,-1.2182245716,0.9986023694
2.8177601050,1.0034996612,0.1510858739,1.1548406867,2.8545192314,-1.2223623842,0.9985911199
2.8402589890,1.0015715154,0.1520885079,1.1582468596,2.8737985138,-1.2264855010,0.9985798705
2.8627578730,0.9996350340,0.1530568007,1.1616683968,2.8929811056,-1.2305937693,0.9985686211
2.8836177187,0.9978327951,0.1539237508,1.1648536352,2.9106800990,-1.2343893528,0.9985581911
2.9044775645,0.9960245535,0.1547609601,1.1680506264,2.9282964380,-1.2381719195,0.9985477612
2.9253374102,0.9942108537,0.1555683405,1.1712586753,2.9458303790,-1.2419413478,0.9985373313
2.9461972559,0.9923922305,0.1563458154,1.1744770904,2.9632821996,-1.2456975161,0.9985269014
2.9662494913,0.9906398644,0.1570649374,1.1775800328,2.9799812197,-1.2492956473,0.9985168753
2.9863017268,0.9888838917,0.1577563154,1.1806913103,2.9966049130,-1.2528813049,0.9985068491
3.0063539622,0.9871247617,0.1584199096,1.1838103185,3.0131535778,-1.2564543807,0.9984968230
3.0264061977,0.9853629154,0.1590556888,1.1869364566,3.0296275281,-1.2600147667,0.9984867969
3.0460352666,0.9836360347,0.1596510883,1.1900029550,3.0456817759,-1.2634876223,0.9984769824
3.0656643356,0.9819073636,0.1602197989,1.1930751573,3.0616650672,-1.2669481132,0.9984671678
3.0852934046,0.9801772922,0.1607618141,1.1961525110,3.0775777371,-1.2703961378,0.9984573533
3.1049224736,0.9784462030,0.1612771345,1.1992344677,3.0934201329,-1.2738315950,0.9984475388
3.1243137396,0.9767354530,0.1617600075,1.2022830743,3.1090019497,-1.2772129930,0.9984378431
3.1437050055,0.9750244296,0.1622168496,1.2053351207,3.1245158925,-1.2805819295,0.9984281475
3.1630962715,0.9733134799,0.1626476803,1.2083900901,3.1399623289,-1.2839383067,0.9984184519
3.1824875375,0.9716029435,0.1630525254,1.2114474699,3.1553416359,-1.2872820270,0.9984087562
3.2017503530,0.9699044758,0.1634289916,1.2144864815,3.1705529865,-1.2905909701,0.9983991248
3.2210131686,0.9682070635,0.1637798825,1.2175268756,3.1856988639,-1.2938872310,0.9983894934
3.2402759841,0.9665110189,0.1641052396,1.2205681625,3.2007796644,-1.2971707142,0.9983798620
3.2595387997,0.9648166479,0.1644051092,1.2236098567,3.2157957919,-1.3004413236,0.9983702306
3.2787459559,0.9631291363,0.1646787864,1.2266426889,3.2307045478,-1.3036895696,0.9983606270
3.2979531121,0.9614438757,0.1649272300,1.2296749753,3.2455498290,-1.3069248259,0.9983510234
3.3171602683,0.9597611498,0.1651505004,1.2327062476,3.2603320577,-1.3101469977,0.9983414199
